index,preset,qp,seq_name,Ir,Dr,Dw,I1mr,D1mr,D1mw,ILmr,DLmr,DLmw,Bc,Bcm,Bi,Bim,E_hw_slow,config,path,__qp_int
21,fast,22,Tango_4k,4790000000000.0,1250000000000.0,585000000000.0,28678332173,8611887181,6993016075,2306912,319879945,350596831,319000000000.0,29321008040,28680241234,2631574468,14.0446,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_Tango_3840x2160_5994fps_8bit_420_3840x2160_60fps_130f.out,22
22,fast,22,TimeLapse_4k,4020000000000.0,1060000000000.0,499000000000.0,26909790250,8021665661,6730130503,2322827,308781378,338280175,262000000000.0,23825174563,25612161781,2524545756,8.4907,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_TimeLapse_3840x2160_5994fps_8bit_420_3840x2160_60fps_130f.out,22
23,fast,22,ToddlerFountain_2k,1350000000000.0,343000000000.0,158000000000.0,7371706325,2181637200,1737619643,345197,59223598,80592740,93156431879.0,9409780075,7596301321,657635858,7.1011,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_ToddlerFountain_1920x1080_2997fps_8bit_420_1920x1080_30fps_130f.out,22
24,fast,22,TreesAndGrass_2k,1490000000000.0,368000000000.0,167000000000.0,7377346568,2188291921,1742229404,370947,60427895,82639266,105000000000.0,10308368885,7944425034,658037540,7.2048,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_TreesAndGrass_1920_1080_30fps_8bit_1920x1080_30fps_130f.out,22
25,fast,22,TunnelFlag_2k,1130000000000.0,295000000000.0,137000000000.0,7165812734,2084783936,1697200490,322761,59081813,78519046,75421470509.0,7300405264,6868760446,633931346,6.8743,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_TunnelFlag_1920x1080_5994_8bit_420_1920x1080_60fps_130f.out,22
26,fast,22,Vertical_bees_2k,925000000000.0,246000000000.0,116000000000.0,6728958175,1964131704,1661855407,306714,51579021,63336097,59292777176.0,5280026341,6099362119,621540590,6.4007,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_Vertical_bees_1080x1920_2997_1080x1920_30fps_130f.out,22
27,fast,22,Vertical_Carnaby_2k,813000000000.0,220000000000.0,104000000000.0,6399882855,1909335158,1633391230,323727,49976507,62262139,50954785673.0,4251724631,5606698950,604664268,6.3932,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_Vertical_Carnaby_1080x1920_5994_1080x1920_60fps_130f.out,22
28,fast,22,WalkingInStreet_2k,1070000000000.0,260000000000.0,117000000000.0,5539723268,1442439883,1240135616,318153,43566004,52351375,76031660088.0,7619612725,5498588609,449473206,7.2554,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_WalkingInStreet_1920x1080_30fps_1920x1080_30fps_130f.out,22
29,fast,22,WorldCup_2k,399000000000.0,106000000000.0,47062714508.0,4424770403,710522144,640939310,135958,20896831,25466470,21155530264.0,1758696941,2244638051,242281851,6.3279,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_WorldCup_1920x1080_30p_1920x1080_30fps_130f.out,22
30,fast,22,WorldCup_far_2k,1100000000000.0,284000000000.0,133000000000.0,7145498047,2016682993,1682408326,319844,58630013,68854383,72468060254.0,7141175698,6651514821,626629974,7.0555,A,H:\valgrind\default\callgrind_Default_1T_fast_qp22_WorldCup_far_1920x1080_30p_1920x1080_30fps_130f.out,22
31,fast,27,Aerial3200_2k,1120000000000.0,295000000000.0,139000000000.0,7224872317,2115546811,1713108401,332756,59154765,77526437,73309889290.0,6877180114,7003688020,655680766,6.3714,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_Aerial3200_1920x1080_5994_8bit_420_1920x1080_60fps_130f.out,27
32,fast,27,Boat_2k,1190000000000.0,306000000000.0,142000000000.0,7076916938,2058931705,1696711627,367582,57207235,77751809,79748943845.0,7828504739,7074486141,639963288,6.8668,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_Boat_1920x1080_5994_8bit_420_1920x1080_60fps_130f.out,27
33,fast,27,BoxingPractice_4k,3400000000000.0,920000000000.0,435000000000.0,25362937735,7793227389,6628212224,2301877,302410238,329535086,217000000000.0,17308283481,23443532511,2503540904,13.0487,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_BoxingPractice_3840x2160_5994fps_8bit_420_3840x2160_60fps_130f.out,27
34,fast,27,Crosswalk_4k,3280000000000.0,899000000000.0,426000000000.0,24498730652,7845715372,6634340315,2389058,304193094,325418033,212000000000.0,15339800519,23403310180,2562704958,12.9287,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_Crosswalk_3840x2160_5994fps_8bit_420_3840x2160_60fps_130f.out,27
35,fast,27,CrowdRun_1080p50,1340000000000.0,341000000000.0,158000000000.0,7351088415,2169152471,1731334696,330592,60946369,81444407,91812759973.0,9110167332,7617755836,660916588,7.0286,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_CrowdRun_1920x1080p50_1920x1080_50fps_130f.out,27
36,fast,27,DinnerSceneCropped_2k,1050000000000.0,279000000000.0,132000000000.0,6980176579,2107634046,1706782732,330572,59994997,77910474,68168770021.0,5866318513,6696769929,659657906,6.3581,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_DinnerSceneCropped_1920x1080_2997fps_8bit_420_1920x1080_30fps_130f.out,27
37,fast,27,FoodMarket2_4k,3630000000000.0,980000000000.0,466000000000.0,27353432647,8108259085,6744204500,2288297,308387162,330362962,230000000000.0,19457476086,24633629207,2544210040,13.2135,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_FoodMarket2_3840x2160_5994fps_8bit_420_3840x2160_60fps_130f.out,27
38,fast,27,FoodMarket_2k,1020000000000.0,271000000000.0,128000000000.0,6892941569,2108047123,1714488868,320673,58277841,68468575,66034438205.0,5769387389,6587972450,649536221,6.3553,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_FoodMarket_1920x1080_5994_8bit_420_1920x1080_60fps_130f.out,27
39,fast,27,MeridianTalk_sdr_2k,820000000000.0,223000000000.0,105000000000.0,6015725132,1933125717,1646833237,306570,52937788,62082756,52820409733.0,3986060098,5755920608,625996512,6.3492,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_MeridianTalk_sdr_1920x1080p_5994_8bit_1920x1080_60fps_130f.out,27
40,fast,27,Motorcycle_2k,1320000000000.0,335000000000.0,147000000000.0,12295164551,1820475560,1623430530,322901,55022321,61803033,73581609637.0,6856716591,6557426657,627246118,7.0063,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_Motorcycle_1920x1080_30fps_8bit_1920x1080_30fps_130f.out,27
41,fast,27,MountainBike_2k,1120000000000.0,289000000000.0,135000000000.0,6998346151,2072657835,1707336598,300691,55118371,64209744,74469230916.0,7102818734,6728692028,633921044,7.0351,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_MountainBike_1920x1080_30fps_8bit_1920x1080_30fps_130f.out,27
42,fast,27,Neon1224_4k,3130000000000.0,848000000000.0,400000000000.0,23904365830,7337070535,6449806364,2279952,297756731,323898000,198000000000.0,15642367743,21976017638,2413344036,12.9711,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_Neon1224_3840x2160_2997fps_3840x2160_30fps_130f.out,27
43,fast,27,NocturneDance_4k,3290000000000.0,888000000000.0,420000000000.0,25817619248,7798473571,6634641545,2228602,299886419,323646341,206000000000.0,17002606530,22702004685,2454054069,13.2943,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_NocturneDance_3840x2160p_8bit_60fps_3840x2160_60fps_130f.out,27
44,fast,27,OldTownCross_1080p50,1550000000000.0,393000000000.0,171000000000.0,13289354123,1934821931,1675520180,331613,55860351,60918061,85735831511.0,8047167067,7376898131,662386383,7.1214,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_OldTownCross_1920x1080p50_1920x1080_50fps_130f.out,27
45,fast,27,PedestrianArea_1080p25,860000000000.0,232000000000.0,110000000000.0,6432369458,1921162202,1640467824,331620,56714781,76157774,54768748126.0,4513598939,5878489487,621796179,6.3449,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_PedestrianArea_1920x1080p25_1920x1080_25fps_130f.out,27
46,fast,27,PierSeaSide_4k,3280000000000.0,888000000000.0,419000000000.0,23572024713,7349025322,6489766646,2075260,275047269,260378601,209000000000.0,16700860314,22784126078,2451938223,13.27,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_PierSeaSide_3840x2160_2997fps_8bit_420_3840x2160_30fps_130f.out,27
47,fast,27,RitualDance_2k,749000000000.0,204000000000.0,95451615800.0,5703243438,1762318566,1575297544,338868,54042184,74892682,47574778091.0,3722614282,5322606670,589352345,6.3314,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_RitualDance_1920x1080_5994_8bit_420_1920x1080_60fps_130f.out,27
48,fast,27,Riverbed_1080p25,1010000000000.0,271000000000.0,129000000000.0,7152083923,2074857673,1696016920,347029,60268270,78129220,64835076899.0,5765614713,6648629923,649225327,6.4041,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_Riverbed_1920x1080p25_1920x1080_25fps_130f.out,27
49,fast,27,RushFieldCuts_2k,1100000000000.0,288000000000.0,135000000000.0,7087421185,2061599426,1688378676,332958,57703176,77945518,72044501800.0,6758223981,6799284851,643921821,7.0206,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_RushFieldCuts_1920x1080_2997_1920x1080_30fps_130f.out,27
50,fast,27,Skater227_2k,703000000000.0,193000000000.0,90745441328.0,5456660966,1788906948,1595000890,301308,53470049,62675613,44084918837.0,3052445645,5189665630,596778418,6.3504,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_Skater227_1920x1080_30fps_1920x1080_30fps_130f.out,27
51,fast,27,Tango_4k,3620000000000.0,981000000000.0,466000000000.0,26125850740,8140662468,6752931293,2262535,305473738,329014167,234000000000.0,18339555876,24794970419,2596024377,13.3681,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_Tango_3840x2160_5994fps_8bit_420_3840x2160_60fps_130f.out,27
52,fast,27,TimeLapse_4k,3420000000000.0,921000000000.0,434000000000.0,25176039500,7629947002,6575014551,2326969,302210105,329174719,217000000000.0,17996047389,23315612628,2462803392,13.0925,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_TimeLapse_3840x2160_5994fps_8bit_420_3840x2160_60fps_130f.out,27
53,fast,27,ToddlerFountain_2k,1140000000000.0,297000000000.0,138000000000.0,6962744771,2071381152,1698357735,325268,57936850,79315870,76623711797.0,7267561006,6908596816,644517864,7.0285,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_ToddlerFountain_1920x1080_2997fps_8bit_420_1920x1080_30fps_130f.out,27
54,fast,27,TreesAndGrass_2k,1340000000000.0,337000000000.0,154000000000.0,7182828500,2086809135,1707959144,346944,59175813,80623162,92748743304.0,9116067153,7517778057,653989094,7.1124,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_TreesAndGrass_1920_1080_30fps_8bit_1920x1080_30fps_130f.out,27
55,fast,27,TunnelFlag_2k,959000000000.0,255000000000.0,120000000000.0,6806062657,1985014338,1661172304,333777,57308236,76625796,62162488817.0,5614551274,6216274685,623028011,6.3523,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_TunnelFlag_1920x1080_5994_8bit_420_1920x1080_60fps_130f.out,27
56,fast,27,Vertical_bees_2k,831000000000.0,224000000000.0,106000000000.0,6391478679,1932815386,1643699285,299695,51089240,63047093,52542552093.0,4393927106,5713201903,611155124,6.3751,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_Vertical_bees_1080x1920_2997_1080x1920_30fps_130f.out,27
57,fast,27,Vertical_Carnaby_2k,735000000000.0,200000000000.0,94428294570.0,5963130017,1819909884,1593667192,318634,53864247,73998844,45651921870.0,3526880656,5274699490,591820096,6.4061,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_Vertical_Carnaby_1080x1920_5994_1080x1920_60fps_130f.out,27
58,fast,27,WalkingInStreet_2k,1300000000000.0,326000000000.0,149000000000.0,7369710016,1929810228,1643839936,444184,60437131,81823334,90303929970.0,9131052638,7080809313,599666150,7.2329,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_WalkingInStreet_1920x1080_30fps_1920x1080_30fps_130f.out,27
59,fast,27,WorldCup_2k,273000000000.0,74138338256.0,34769456052.0,2164125016,674516702,597664401,116530,19071496,24381729,17150381356.0,1335903530,1945175584,218622577,6.3472,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_WorldCup_1920x1080_30p_1920x1080_30fps_130f.out,27
60,fast,27,WorldCup_far_2k,969000000000.0,256000000000.0,120000000000.0,6875191037,2005524940,1670855122,325164,57574290,67692795,62687553780.0,5875232504,6214799891,620868351,7.0531,A,H:\valgrind\default\callgrind_Default_1T_fast_qp27_WorldCup_far_1920x1080_30p_1920x1080_30fps_130f.out,27
61,fast,32,Aerial3200_2k,938000000000.0,252000000000.0,119000000000.0,6776122693,2055004438,1697051487,324749,58188027,77224066,60150958453.0,5096438421,6281450777,639637335,6.3725,A,H:\valgrind\default\callgrind_Default_1T_fast_qp32_Aerial3200_1920x1080_5994_8bit_420_1920x1080_60fps_130f.out,32
62,fast,32,Boat_2k,1030000000000.0,272000000000.0,128000000000.0,6803310815,2044630095,1697114603,338959,58451617,78905375,67622487429.0,6222054357,6553079715,631754450,6.3672,A,H:\valgrind\default\callgrind_Default_1T_fast_qp32_Boat_1920x1080_5994_8bit_420_1920x1080_60fps_130f.out,32
63,fast,32,BoxingPractice_4k,2910000000000.0,797000000000.0,375000000000.0,22365566165,7062565496,6374246148,2363540,288598681,317813160,184000000000.0,13288909899,21154341677,2398994127,13.0006,A,H:\valgrind\default\callgrind_Default_1T_fast_qp32_BoxingPractice_3840x2160_5994fps_8bit_420_3840x2160_60fps_130f.out,32
64,fast,32,Crosswalk_4k,2870000000000.0,791000000000.0,372000000000.0,21351316207,7015553371,6344849051,2611591,294336185,315756652,183000000000.0,12290855475,21279543788,2436082775,12.9114,A,H:\valgrind\default\callgrind_Default_1T_fast_qp32_Crosswalk_3840x2160_5994fps_8bit_420_3840x2160_60fps_130f.out,32
65,fast,32,CrowdRun_1080p50,1120000000000.0,292000000000.0,137000000000.0,6896353929,2091997524,1709751525,342352,58849061,79062544,74387117168.0,6968385353,6870523604,648421369,7.072,A,H:\valgrind\default\callgrind_Default_1T_fast_qp32_CrowdRun_1920x1080p50_1920x1080_50fps_130f.out,32
66,fast,32,DinnerSceneCropped_2k,783000000000.0,215000000000.0,102000000000.0,5742736313,1855308142,1620063022,311614,53540868,62166805,50884556488.0,3580734418,5664986122,631198334,6.2705,A,H:\valgrind\default\callgrind_Default_1T_fast_qp32_DinnerSceneCropped_1920x1080_2997fps_8bit_420_1920x1080_30fps_130f.out,32
67,fast,32,FoodMarket2_4k,3200000000000.0,872000000000.0,413000000000.0,25525737522,7728741747,6612267979,2358690,303692330,325674618,200000000000.0,15614681667,22627895975,2476309275,13.2082,A,H:\valgrind\default\callgrind_Default_1T_fast_qp32_FoodMarket2_3840x2160_5994fps_8bit_420_3840x2160_60fps_130f.out,32
68,fast,32,FoodMarket_2k,1020000000000.0,272000000000.0,122000000000.0,11125346068,1797464495,1618798104,312074,53548782,60031329,54441630389.0,4222088154,5846347932,626800066,6.3658,A,H:\valgrind\default\callgrind_Default_1T_fast_qp32_FoodMarket_1920x1080_5994_8bit_420_1920x1080_60fps_130f.out,32
69,fast,32,MeridianTalk_sdr_2k,863000000000.0,234000000000.0,105000000000.0,8899391942,1657878722,1565380800,322431,52233238,60281078,45922828810.0,3206926498,5232309040,598774505,6.3348,A,H:\valgrind\default\callgrind_Default_1T_fast_qp32_MeridianTalk_sdr_1920x1080p_5994_8bit_1920x1080_60fps_130f.out,32
70,fast,32,Motorcycle_2k,960000000000.0,252000000000.0,117000000000.0,6484991391,1921069162,1648533984,304427,53578557,63317007,62981132179.0,5713949420,6088412415,614689675,7.0665,A,H:\valgrind\default\callgrind_Default_1T_fast_qp32_Motorcycle_1920x1080_30fps_8bit_1920x1080_30fps_130f.out,32
71,fast,32,MountainBike_2k,985000000000.0,259000000000.0,121000000000.0,6692150946,1984833437,1675096082,297888,53709155,63171838,64435128255.0,5843587934,6246079757,623022262,6.9826,A,H:\valgrind\default\callgrind_Default_1T_fast_qp32_MountainBike_1920x1080_30fps_8bit_1920x1080_30fps_130f.out,32
72,fast,32,Neon1224_4k,2810000000000.0,768000000000.0,360000000000.0,21945900873,6860992790,6278581171,2319976,290271665,317375149,176000000000.0,12988618996,20442115631,2329507946,12.957,A,H:\valgrind\default\callgrind_Default_1T_fast_qp32_Neon1224_3840x2160_2997fps_3840x2160_30fps_130f.out,32
73,fast,32,NocturneDance_4k,2900000000000.0,790000000000.0,371000000000.0,23516991839,7285888913,6455802922,2337404,291364818,315391639,180000000000.0,13568110168,20789453437,2362617787,13.2215,A,H:\valgrind\default\callgrind_Default_1T_fast_qp32_NocturneDance_3840x2160p_8bit_60fps_3840x2160_60fps_130f.out,32
74,fast,32,OldTownCross_1080p50,938000000000.0,251000000000.0,118000000000.0,6267209196,1949559112,1660016338,310318,53668968,62989584,61691526374.0,5070236585,6229983110,638465970,6.3166,A,H:\valgrind\default\callgrind_Default_1T_fast_qp32_OldTownCross_1920x1080p50_1920x1080_50fps_130f.out,32
75,fast,32,PedestrianArea_1080p25,746000000000.0,204000000000.0,95822919551.0,5869719436,1809164508,1603668193,314770,53194768,63076938,46860766061.0,3514289954,5355344305,601989245,6.359,A,H:\valgrind\default\callgrind_Default_1T_fast_qp32_PedestrianArea_1920x1080p25_1920x1080_25fps_130f.out,32
76,fast,32,PierSeaSide_4k,2880000000000.0,787000000000.0,369000000000.0,21774379428,6887966720,6338965629,2008087,250504939,233118236,181000000000.0,13341803155,20835887395,2354981737,13.3017,A,H:\valgrind\default\callgrind_Default_1T_fast_qp32_PierSeaSide_3840x2160_2997fps_8bit_420_3840x2160_30fps_130f.out,32
77,fast,32,RitualDance_2k,685000000000.0,187000000000.0,87590287908.0,5344545282,1675401145,1552622721,321037,53231316,68213257,43006827310.0,3153241178,5016430038,575307468,6.3146,A,H:\valgrind\default\callgrind_Default_1T_fast_qp32_RitualDance_1920x1080_5994_8bit_420_1920x1080_60fps_130f.out,32
78,fast,32,Riverbed_1080p25,870000000000.0,236000000000.0,112000000000.0,6716632126,2015994239,1684873629,344133,59206350,76771122,54926190698.0,4416792753,6047453073,635281466,6.3958,A,H:\valgrind\default\callgrind_Default_1T_fast_qp32_Riverbed_1920x1080p25_1920x1080_25fps_130f.out,32
79,fast,32,RushFieldCuts_2k,943000000000.0,251000000000.0,118000000000.0,6693531858,2010501340,1680645220,334471,57667862,77611717,60635354557.0,5339060883,6179013925,628404331,7.0422,A,H:\valgrind\default\callgrind_Default_1T_fast_qp32_RushFieldCuts_1920x1080_2997_1920x1080_30fps_130f.out,32
80,fast,32,Skater227_2k,648000000000.0,178000000000.0,83185067646.0,5037425715,1665292400,1553495906,313783,51610969,62057498,40278716596.0,2672213540,4874307538,573645004,6.3241,A,H:\valgrind\default\callgrind_Default_1T_fast_qp32_Skater227_1920x1080_30fps_1920x1080_30fps_130f.out,32
81,fast,32,Tango_4k,3020000000000.0,830000000000.0,392000000000.0,22649012081,7266882755,6432249899,2525854,295588633,318272771,193000000000.0,13512785715,22071890424,2483303768,13.2135,A,H:\valgrind\default\callgrind_Default_1T_fast_qp32_Tango_3840x2160_5994fps_8bit_420_3840x2160_60fps_130f.out,32
82,fast,32,TimeLapse_4k,3010000000000.0,818000000000.0,385000000000.0,23503485570,7250238917,6431140143,2388440,291623929,317287338,188000000000.0,14344748570,21442279420,2385681055,13.1057,A,H:\valgrind\default\callgrind_Default_1T_fast_qp32_TimeLapse_3840x2160_5994fps_8bit_420_3840x2160_60fps_130f.out,32
83,fast,32,ToddlerFountain_2k,968000000000.0,257000000000.0,121000000000.0,6564923463,2009596071,1687501581,324147,56266542,77486500,63144665777.0,5498841280,6262028428,627413956,6.6525,A,H:\valgrind\default\callgrind_Default_1T_fast_qp32_ToddlerFountain_1920x1080_2997fps_8bit_420_1920x1080_30fps_130f.out,32
84,fast,32,TreesAndGrass_2k,1190000000000.0,305000000000.0,141000000000.0,6941981797,2075204317,1707297815,348412,57821461,78330692,80511979324.0,7730684527,7049860750,645638337,7.0828,A,H:\valgrind\default\callgrind_Default_1T_fast_qp32_TreesAndGrass_1920_1080_30fps_8bit_1920x1080_30fps_130f.out,32
85,fast,32,TunnelFlag_2k,825000000000.0,222000000000.0,104000000000.0,6222019873,1899566071,1633081296,328675,56377900,76457048,52545797194.0,4350916708,5643495250,606829244,6.3698,A,H:\valgrind\default\callgrind_Default_1T_fast_qp32_TunnelFlag_1920x1080_5994_8bit_420_1920x1080_60fps_130f.out,32
86,fast,32,Vertical_bees_2k,756000000000.0,205000000000.0,96492354452.0,6000444478,1855460209,1618512272,315129,53672312,74019897,47324963677.0,3708356732,5362830505,595991134,6.3654,A,H:\valgrind\default\callgrind_Default_1T_fast_qp32_Vertical_bees_1080x1920_2997_1080x1920_30fps_130f.out,32
