config,preset,qp,video_name,width,height,fps,frames,E_hw_slow,L1_dcache_load_misses:u,L1_dcache_loads:u,L1_dcache_stores:u,L1_icache_load_misses:u,LLC_load_misses:u,LLC_loads:u,LLC_store_misses:u,LLC_stores:u,branch_instructions:u,branch_misses:u,cache_misses:u,cache_references:u,cycles:u,dTLB_load_misses:u,dTLB_loads:u,dTLB_store_misses:u,dTLB_stores:u,instructions:u
default,superfast,32,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3725,4332162346,2.63E+11,1.19E+11,2867408257,71985043,477808338,53887230,299775905,96639756377,4101359745,126789727,1949162188,5.62E+11,26112006,2.62E+11,7741085,1.19E+11,9.87E+11
default,superfast,37,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3831,4263945540,2.38E+11,1.09E+11,2756969940,69144053,466886497,49364012,303748692,86147343161,3239026423,116772748,1930337843,4.99E+11,24354951,2.38E+11,5515005,1.08E+11,8.82E+11
default,veryfast,22,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,7.1671,5098151549,3.37E+11,1.48E+11,2966265418,126389567,655435825,99966549,435714441,1.31E+11,6578165521,225174300,2417271895,7.59E+11,35308558,3.37E+11,14122448,1.47E+11,1.33E+12
default,veryfast,27,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3714,4951492967,3.04E+11,1.35E+11,2838259018,113258334,566795427,84388820,396940600,1.14E+11,5273418492,196020204,2160778386,6.59E+11,30149499,3.03E+11,10029131,1.35E+11,1.16E+12
default,veryfast,32,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3725,4818441416,2.72E+11,1.23E+11,2687237539,108399645,541139419,77687425,382145975,99881767863,4136558736,191252611,2073244791,5.75E+11,25760737,2.72E+11,8546893,1.23E+11,1.02E+12
default,veryfast,37,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3831,4778838508,2.46E+11,1.11E+11,2843167234,102332128,553372598,71988974,385903851,88488457549,3242986639,174195581,2193638118,5.14E+11,25310824,2.45E+11,7695627,1.11E+11,9.10E+11
hwlike,faster,22,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,7.1671,4946049732,3.35E+11,1.47E+11,2933606325,115573876,582626696,91973721,407020670,1.30E+11,6540711743,210012957,2273237915,7.53E+11,32727285,3.35E+11,11458380,1.47E+11,1.32E+12
hwlike,faster,27,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3714,4915859119,3.02E+11,1.35E+11,2927857425,114849043,576311445,86489960,398420852,1.14E+11,5330289211,200551021,2264632521,6.63E+11,29677529,3.02E+11,9982054,1.34E+11,1.16E+12
hwlike,faster,32,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3725,4781622918,2.71E+11,1.22E+11,2800773251,106586382,551466425,78707644,393271498,99393773311,4130456693,183972660,2175971314,5.77E+11,25766216,2.71E+11,9008506,1.22E+11,1.02E+12
hwlike,faster,37,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3831,4764068075,2.45E+11,1.11E+11,2767500916,98636729,533640650,71038151,375280580,88167391256,3231655215,172057476,2040065731,5.12E+11,26515427,2.44E+11,7733637,1.11E+11,9.06E+11
hwlike,fast,22,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,7.1671,4932047366,3.35E+11,1.47E+11,2908873458,117028793,564819525,91277763,405505489,1.30E+11,6557525245,210176195,2240697779,7.52E+11,30789523,3.35E+11,10737468,1.47E+11,1.32E+12
hwlike,fast,27,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3714,4917447988,3.02E+11,1.35E+11,2975452749,110971853,573859304,86420581,408724420,1.14E+11,5285447247,195254628,2281341606,6.61E+11,28254375,3.01E+11,10357250,1.34E+11,1.16E+12
hwlike,fast,32,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3725,4863212809,2.71E+11,1.22E+11,2804653040,109262397,562884959,79302428,376699758,99365059793,4160399047,193046573,2139925365,5.80E+11,29666876,2.71E+11,9355830,1.22E+11,1.02E+12
hwlike,fast,37,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3831,4770826863,2.45E+11,1.11E+11,2826192372,99894298,544663226,71172766,384944310,88143994362,3239712163,171792230,2144067097,5.15E+11,25314632,2.44E+11,8136205,1.11E+11,9.06E+11
hwlike,superfast,22,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,7.1671,4829676034,3.30E+11,1.45E+11,2800198457,105301448,507324217,68623605,316008057,1.28E+11,6512867643,171842213,1987839360,7.36E+11,34503746,3.30E+11,8132493,1.45E+11,1.30E+12
hwlike,superfast,27,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3714,4586451454,2.98E+11,1.33E+11,2894606547,93860017,508797672,58335351,307619858,1.12E+11,5259342967,151691747,2004889153,6.49E+11,26497706,2.98E+11,6594096,1.33E+11,1.14E+12
hwlike,superfast,32,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3725,4451977683,2.68E+11,1.21E+11,2762523648,88379918,496758548,54918468,301876474,98242821341,4157271725,142799270,1969971598,5.69E+11,28629042,2.68E+11,6069571,1.21E+11,1.01E+12
hwlike,superfast,37,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3831,4406310592,2.42E+11,1.10E+11,2642691358,83808945,483651189,49664961,295531648,87403033459,3269071163,133677075,1902345097,5.04E+11,23488095,2.42E+11,5324438,1.10E+11,8.98E+11
hwlike,veryfast,22,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,7.1671,4926827587,3.35E+11,1.47E+11,2761187367,116908606,547156824,92989883,400247089,1.30E+11,6519186554,209058232,2117151187,7.47E+11,30870460,3.35E+11,11668834,1.46E+11,1.32E+12
hwlike,veryfast,27,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3714,4914369093,3.02E+11,1.35E+11,2921663638,110677819,555581211,83693240,398441786,1.14E+11,5289774228,196457986,2253435491,6.59E+11,27327631,3.02E+11,9644959,1.34E+11,1.16E+12
hwlike,veryfast,32,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3725,4787610506,2.71E+11,1.22E+11,2763459205,103879166,543729625,75815751,384549351,99463581441,4117852702,180249864,2098038436,5.76E+11,25491673,2.71E+11,8473415,1.22E+11,1.02E+12
hwlike,veryfast,37,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3831,4765124566,2.45E+11,1.11E+11,2745777590,99922837,530373215,70483054,374700087,88167151161,3236139367,171940816,2034840124,5.11E+11,27029162,2.44E+11,7923025,1.11E+11,9.06E+11
disfilter,faster,22,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,7.1671,4832337020,3.26E+11,1.43E+11,2870529552,91149262,548879102,92712242,403166452,1.27E+11,6486528398,183064780,2182450751,7.34E+11,31777077,3.25E+11,11737321,1.42E+11,1.28E+12
disfilter,faster,27,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3714,4786551830,2.94E+11,1.31E+11,2758604019,83701784,504968542,83824696,384830561,1.11E+11,5214064535,168575223,2042571329,6.43E+11,28426678,2.94E+11,10133605,1.31E+11,1.13E+12
disfilter,faster,32,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3725,4655484925,2.66E+11,1.20E+11,2848585954,80101845,526323182,79205220,394612153,97776369995,4108041639,158570764,2152809348,5.70E+11,24518815,2.65E+11,9374988,1.20E+11,9.98E+11
disfilter,faster,37,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3831,4652505494,2.40E+11,1.09E+11,2816488230,74877025,511919745,71457553,389268222,86921372511,3283985041,146942992,2183498388,5.05E+11,26446185,2.40E+11,8571441,1.09E+11,8.90E+11
disfilter,fast,22,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,7.1671,4850253890,3.26E+11,1.43E+11,2967529826,97411836,550201530,97744918,408647655,1.27E+11,6560926780,195156309,2237100097,7.40E+11,36923103,3.25E+11,13225451,1.42E+11,1.28E+12
disfilter,fast,27,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3714,4785690356,2.94E+11,1.31E+11,2881519905,83914425,522262727,85234682,399710696,1.11E+11,5251261608,171842998,2183715636,6.49E+11,31896401,2.94E+11,10597100,1.31E+11,1.13E+12
disfilter,fast,32,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3725,4801716623,2.65E+11,1.20E+11,2777202188,82750306,524020191,78195843,386541281,97731714254,4122866894,164436157,2126636348,5.66E+11,26258878,2.65E+11,10349622,1.20E+11,9.98E+11
disfilter,fast,37,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3831,4642095223,2.40E+11,1.09E+11,2851767350,72670094,515213282,71751600,388168111,86956739029,3221234419,142748809,2119005415,5.06E+11,26400498,2.40E+11,8351741,1.09E+11,8.90E+11
disfilter,superfast,22,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,7.1671,4455164422,3.20E+11,1.40E+11,3007385913,70561507,481993697,66509159,321957516,1.25E+11,6426708791,136797951,2105222794,7.21E+11,28127899,3.20E+11,7888560,1.40E+11,1.26E+12
disfilter,superfast,27,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3714,4440040477,2.90E+11,1.30E+11,2833172704,65206702,458173771,59830652,306297214,1.09E+11,5225623765,126606926,1920634660,6.35E+11,27121910,2.89E+11,7068218,1.29E+11,1.11E+12
disfilter,superfast,32,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3725,4312032954,2.62E+11,1.18E+11,2871514013,63164171,482873128,55696545,309716494,96063588777,4169654743,120535100,2104086203,5.61E+11,28883007,2.61E+11,6647330,1.18E+11,9.82E+11
disfilter,superfast,37,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3831,4254709915,2.37E+11,1.08E+11,2806600844,57678732,474591670,49951903,299732498,85767471260,3240029820,105921530,1930266138,4.99E+11,24407286,2.37E+11,5295472,1.08E+11,8.79E+11
disfilter,veryfast,22,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,7.1671,4818413252,3.26E+11,1.43E+11,2938634570,91622922,532945737,94164177,407569717,1.27E+11,6503067358,185058567,2202141847,7.36E+11,29182127,3.25E+11,11937837,1.42E+11,1.28E+12
disfilter,veryfast,27,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3714,4773977977,2.94E+11,1.31E+11,2962575839,85174337,535423271,87369265,409654938,1.11E+11,5237659766,170350334,2244684329,6.49E+11,31086499,2.94E+11,10665564,1.31E+11,1.13E+12
disfilter,veryfast,32,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3725,4663981572,2.66E+11,1.20E+11,2914219034,78498365,534493888,77999354,390388192,97719449025,4107678840,158885466,2184125577,5.72E+11,26992276,2.65E+11,9419795,1.20E+11,9.98E+11
disfilter,veryfast,37,Aerial3200_1920x1080_5994_8bit_420,1920,1080,60,130,6.3831,4649968002,2.40E+11,1.09E+11,2849523398,76550434,531930996,73370608,389534157,86932791287,3280255183,151033190,2183415113,5.08E+11,27326997,2.40E+11,8878104,1.09E+11,8.90E+11
default,faster,22,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,7.1358,5043264768,3.46E+11,1.53E+11,2995178964,117249515,617639891,101587560,423869413,1.34E+11,7053278286,220160254,2480812748,7.78E+11,40111512,3.46E+11,14383742,1.52E+11,1.35E+12
default,faster,27,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.8668,4940114361,3.11E+11,1.39E+11,2959780513,106573435,592344286,89402324,407133019,1.17E+11,5715943903,196074341,2365001524,6.81E+11,30911410,3.10E+11,10954051,1.39E+11,1.19E+12
default,faster,32,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.3672,4713116563,2.75E+11,1.25E+11,2691988922,97814002,532751147,80704543,390192362,1.02E+11,4415137832,177152817,2141282138,5.81E+11,31004127,2.75E+11,10120713,1.25E+11,1.03E+12
default,faster,37,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.3417,4612820476,2.46E+11,1.12E+11,2613206919,91582682,528313442,74659395,391883725,89147655966,3415964770,165251368,2206477158,5.03E+11,28096181,2.45E+11,9025848,1.12E+11,9.04E+11
default,fast,22,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,7.1358,5019725139,3.46E+11,1.53E+11,3080439064,113395210,579240405,99106399,410581344,1.34E+11,7040903083,213810061,2392422442,7.80E+11,34258999,3.46E+11,12651550,1.52E+11,1.35E+12
default,fast,27,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.8668,4925044506,3.11E+11,1.39E+11,2961538670,105733268,590623381,89931557,414473306,1.17E+11,5689645761,196547551,2393398007,6.82E+11,32114346,3.11E+11,11504916,1.39E+11,1.19E+12
default,fast,32,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.3672,4713099798,2.75E+11,1.25E+11,2732155864,98655234,560710895,81234233,399270665,1.02E+11,4410286882,180783928,2242407505,5.83E+11,29577644,2.75E+11,9553461,1.25E+11,1.03E+12
default,fast,37,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.3417,4609041164,2.46E+11,1.12E+11,2592755914,90363397,527028404,73423481,386575545,89100824406,3402666977,165522612,2227422857,5.04E+11,28127449,2.45E+11,9278658,1.12E+11,9.03E+11
default,superfast,22,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,7.1358,5177801765,3.27E+11,1.44E+11,3061438468,67807007,531757632,66687771,335263443,1.27E+11,6798751465,134518677,2231586694,7.42E+11,32712211,3.26E+11,9272806,1.44E+11,1.28E+12
default,superfast,27,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.8668,5079190920,2.93E+11,1.32E+11,2911668264,62800997,520671509,62039674,328938188,1.11E+11,5488779549,124398559,2213381286,6.44E+11,31802091,2.93E+11,8421636,1.31E+11,1.12E+12
default,superfast,32,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.3672,4874990337,2.60E+11,1.18E+11,2687138748,58198737,489081251,55579695,309187718,95964186084,4248812180,113433004,2013366077,5.50E+11,30271641,2.60E+11,8089582,1.18E+11,9.71E+11
default,superfast,37,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.3417,4717146223,2.32E+11,1.06E+11,2645525475,52348092,480754631,50420039,311080129,84454524911,3286788804,103040813,2073762102,4.79E+11,28601005,2.32E+11,6855712,1.06E+11,8.56E+11
default,veryfast,22,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,7.1358,5051920167,3.46E+11,1.53E+11,3021647549,117135887,610769356,100554369,415501229,1.34E+11,7079718159,216280839,2357111448,7.81E+11,38323816,3.46E+11,13981242,1.52E+11,1.35E+12
default,veryfast,27,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.8668,4937083526,3.11E+11,1.39E+11,2835669320,105934402,563264862,88830879,402830358,1.17E+11,5706215335,195696018,2223504790,6.78E+11,33476160,3.10E+11,11377732,1.39E+11,1.19E+12
default,veryfast,32,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.3672,4719105050,2.75E+11,1.25E+11,2669107863,98849729,536856456,79253857,389494753,1.02E+11,4406753838,178960617,2166491637,5.81E+11,28393393,2.75E+11,10434018,1.25E+11,1.03E+12
default,veryfast,37,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.3417,4622879959,2.46E+11,1.12E+11,2592868736,91013346,523760972,72279445,389499498,89201123835,3409880122,164298994,2162203753,5.06E+11,26788624,2.45E+11,9042481,1.12E+11,9.04E+11
hwlike,faster,22,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,7.1358,4980823613,3.44E+11,1.52E+11,2982219434,111514835,585233598,97861828,413280359,1.33E+11,7049950787,209015776,2344133557,7.77E+11,35028532,3.44E+11,12669523,1.52E+11,1.35E+12
hwlike,faster,27,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.8668,4894098942,3.09E+11,1.39E+11,2946229196,105000286,578839858,89139739,405685402,1.17E+11,5696979151,193760644,2365027933,6.78E+11,35970786,3.09E+11,11595981,1.38E+11,1.18E+12
hwlike,faster,32,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.3672,4745637451,2.74E+11,1.24E+11,2966466178,96935041,545145863,79730102,399884982,1.01E+11,4468876580,177011734,2224356136,5.93E+11,28606210,2.74E+11,10362703,1.24E+11,1.02E+12
hwlike,faster,37,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.3417,4572896872,2.44E+11,1.11E+11,2607083422,88542713,522827813,73334202,384568590,88506933627,3397686492,160976938,2199912195,5.00E+11,28477517,2.44E+11,8878535,1.11E+11,8.98E+11
hwlike,fast,22,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,7.1358,4968396518,3.44E+11,1.52E+11,2974347880,112448114,576092603,97793049,409517011,1.33E+11,7034056836,211651485,2327895075,7.75E+11,35635648,3.44E+11,12337435,1.52E+11,1.35E+12
hwlike,fast,27,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.8668,5077346287,3.09E+11,1.39E+11,2826508248,110800121,559778860,91208698,398154401,1.16E+11,5719076067,202815047,2240607547,6.75E+11,33411404,3.09E+11,12078798,1.38E+11,1.18E+12
hwlike,fast,32,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.3672,4685405051,2.74E+11,1.24E+11,2760300838,95625017,553319345,79742076,394114845,1.01E+11,4412343942,177180564,2297058544,5.80E+11,31542320,2.74E+11,9987767,1.24E+11,1.02E+12
hwlike,fast,37,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.3417,4681877995,2.44E+11,1.11E+11,2563693487,93753103,533130706,73017611,386782589,88525394741,3409804266,167397889,2129164899,5.01E+11,28829377,2.44E+11,9263483,1.11E+11,8.97E+11
hwlike,superfast,22,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,7.1358,5340528671,3.33E+11,1.47E+11,2848225458,82456454,527603146,65015815,317912781,1.29E+11,6812515876,149060977,2095539590,7.48E+11,33716691,3.33E+11,9558287,1.47E+11,1.30E+12
hwlike,superfast,27,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.8668,5226707025,2.99E+11,1.34E+11,2785894479,76576116,508772871,58666659,314073398,1.12E+11,5498785154,136276406,2093061190,6.50E+11,31850409,2.98E+11,7800868,1.34E+11,1.14E+12
hwlike,superfast,32,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.3672,5014997254,2.65E+11,1.20E+11,2811262901,71719731,514478270,54529611,315644765,97356142955,4266767723,127247678,2187819286,5.62E+11,29697488,2.64E+11,7264907,1.20E+11,9.89E+11
hwlike,superfast,37,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.3417,4868114816,2.36E+11,1.08E+11,2556922429,66518944,492148494,49388602,297905012,85581148860,3288613815,117056966,2008483323,4.85E+11,28042445,2.36E+11,7106192,1.08E+11,8.69E+11
hwlike,veryfast,22,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,7.1358,4965372942,3.44E+11,1.52E+11,2937438676,110602089,592132476,96702727,408332019,1.33E+11,7026225290,207534013,2301867601,7.75E+11,34345511,3.44E+11,12318523,1.51E+11,1.35E+12
hwlike,veryfast,27,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.8668,4902423261,3.09E+11,1.39E+11,2742338763,105848551,543889719,90018860,397734871,1.17E+11,5693280834,196621733,2178716375,6.73E+11,31961837,3.09E+11,10945789,1.38E+11,1.18E+12
hwlike,veryfast,32,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.3672,4690718778,2.74E+11,1.24E+11,2754805827,95951343,538810526,80052324,395725675,1.01E+11,4404555452,176248406,2212992120,5.82E+11,29835627,2.74E+11,10238741,1.24E+11,1.02E+12
hwlike,veryfast,37,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.3417,4584385765,2.44E+11,1.11E+11,2501723185,87886835,508476856,70222579,379583660,88534122053,3388269102,157293864,2077672643,4.98E+11,26827495,2.44E+11,8979888,1.11E+11,8.97E+11
disfilter,faster,22,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,7.1358,4880950075,3.37E+11,1.49E+11,3011533200,86498393,545868026,99065896,413186899,1.31E+11,6996843988,185919504,2297286745,7.65E+11,35497703,3.37E+11,13412897,1.48E+11,1.32E+12
disfilter,faster,27,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.8668,4774511640,3.03E+11,1.36E+11,2734344424,77574295,510090833,88621994,393773603,1.15E+11,5625364185,166900200,2118569030,6.61E+11,30789338,3.02E+11,11793659,1.36E+11,1.15E+12
disfilter,faster,32,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.3672,4638120632,2.68E+11,1.22E+11,2575258048,76021242,492154587,82445190,386293332,99287244505,4365164049,159296077,2092111874,5.66E+11,30334997,2.68E+11,10005134,1.22E+11,1.00E+12
disfilter,faster,37,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.3417,4472161352,2.39E+11,1.10E+11,2493598703,63638040,490047540,71670504,381049794,87101586548,3361173547,136196683,2070737009,4.91E+11,27183852,2.39E+11,9306099,1.09E+11,8.80E+11
disfilter,fast,22,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,7.1358,4856176297,3.37E+11,1.49E+11,2980666463,85849116,551758086,97780606,410028804,1.31E+11,6973200280,183529194,2258160482,7.61E+11,34654809,3.37E+11,13222500,1.48E+11,1.32E+12
disfilter,fast,27,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.8668,4783669315,3.03E+11,1.36E+11,2804271989,77088474,520423782,90819759,398641264,1.15E+11,5625859490,168459520,2128412533,6.61E+11,32877420,3.02E+11,12059013,1.36E+11,1.15E+12
disfilter,fast,32,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.3672,4615767916,2.68E+11,1.22E+11,2584870124,75903898,493079324,82266615,391236235,99337039053,4377735995,159389605,2097917845,5.67E+11,32440951,2.68E+11,10212518,1.22E+11,1.00E+12
disfilter,fast,37,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.3417,4475100239,2.39E+11,1.10E+11,2623516845,63642916,492950114,75323328,387337955,87086016192,3349978766,138525695,2171410726,4.91E+11,24637854,2.39E+11,9761990,1.09E+11,8.79E+11
disfilter,superfast,22,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,7.1358,5255033298,3.25E+11,1.44E+11,2850409332,67343608,492612630,70417426,323321431,1.26E+11,6776640597,138437511,2103281207,7.32E+11,38706120,3.25E+11,9544274,1.43E+11,1.27E+12
disfilter,superfast,27,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.8668,5032169196,2.91E+11,1.31E+11,2842738710,54361894,490141630,60708432,312861457,1.10E+11,5455405715,114540248,2070405296,6.38E+11,30702973,2.91E+11,8336196,1.31E+11,1.11E+12
disfilter,superfast,32,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.3672,4833269893,2.58E+11,1.18E+11,2786846110,54015407,487962764,55078183,315103904,95254327648,4264540634,110146886,2181088305,5.49E+11,30644232,2.58E+11,8477536,1.17E+11,9.65E+11
disfilter,superfast,37,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.3417,4844823536,2.31E+11,1.06E+11,2572138275,51109658,469962558,50575668,301794061,83856493768,3260743955,102852920,2011081011,4.75E+11,26527861,2.30E+11,6682078,1.06E+11,8.49E+11
disfilter,veryfast,22,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,7.1358,4865078344,3.37E+11,1.49E+11,2994495084,86517388,554169147,97682409,408989245,1.31E+11,6989647074,186838346,2256187903,7.63E+11,34948885,3.37E+11,13018820,1.48E+11,1.32E+12
disfilter,veryfast,27,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.8668,4799810606,3.03E+11,1.36E+11,2827709609,82025259,547117538,92122397,404943477,1.14E+11,5694566553,174271451,2332502485,6.63E+11,32666944,3.02E+11,11781094,1.36E+11,1.15E+12
disfilter,veryfast,32,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.3672,4562102724,2.68E+11,1.22E+11,2663040306,69835256,500462921,78867106,394234905,99354814871,4346184617,148344684,2115629061,5.66E+11,28881498,2.68E+11,10214402,1.22E+11,1.00E+12
disfilter,veryfast,37,Boat_1920x1080_5994_8bit_420,1920,1080,60,130,6.3417,4493025916,2.39E+11,1.09E+11,2610467273,67563021,499161881,75209916,388113305,87149507999,3405816693,143743755,2146060057,4.95E+11,26723129,2.39E+11,9985429,1.09E+11,8.79E+11
